CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Segment
12442.0,2,1,172.06,4,1,1,6,At Risk
12444.0,20,5,5005.46,3,3,4,10,High Value
12445.0,21,1,133.4,3,1,1,5,At Risk
12446.0,57,1,1002.3100000000001,2,1,3,6,At Risk
12447.0,242,1,476.49,1,1,2,4,At Risk
12448.0,43,1,449.45,3,1,2,6,At Risk
12449.0,21,4,4067.29,3,3,4,10,High Value
12450.0,155,2,197.88,1,2,1,4,At Risk
12451.0,10,6,8933.52,4,4,4,12,High Value
12452.0,16,3,428.57,4,2,2,8,Loyal Customers
12453.0,133,1,707.09,2,1,3,6,At Risk
12454.0,52,2,5.684341886080802e-14,2,2,1,5,At Risk
12455.0,72,6,2466.86,2,4,4,10,High Value
12456.0,43,4,3153.89,3,3,4,10,High Value
12457.0,57,12,1917.78,2,4,4,10,High Value
12458.0,70,2,947.4,2,2,3,7,Loyal Customers
12461.0,93,2,826.88,2,2,3,7,Loyal Customers
12462.0,1,4,1124.01,4,3,3,10,High Value
12463.0,45,7,1303.63,3,4,3,10,High Value
12464.0,9,8,1212.05,4,4,3,11,High Value
12465.0,7,3,733.89,4,2,3,9,Loyal Customers
12468.0,142,3,724.04,2,2,3,7,Loyal Customers
12471.0,1,49,18740.92,4,4,4,12,High Value
12472.0,30,13,6229.48,3,4,4,11,High Value
12473.0,28,9,2848.23,3,4,4,11,High Value
12474.0,16,30,7116.47,4,4,4,12,High Value
12475.0,53,1,723.38,2,1,3,6,At Risk
12476.0,0,20,6546.58,4,4,4,12,High Value
12477.0,22,9,13117.01,3,4,4,11,High Value
12478.0,3,1,680.99,4,1,3,8,Loyal Customers
12479.0,3,3,477.3,4,2,2,8,Loyal Customers
12480.0,27,4,3281.63,3,3,4,10,High Value
12481.0,22,11,5590.86,3,4,4,11,High Value
12483.0,16,13,2327.13,4,4,4,12,High Value
12484.0,32,8,4495.27,3,4,4,11,High Value
12488.0,9,3,1298.66,4,2,3,9,Loyal Customers
12489.0,335,1,334.93,1,1,2,4,At Risk
12490.0,4,10,5417.93,4,4,4,12,High Value
12491.0,38,1,460.40000000000003,3,1,2,6,At Risk
12492.0,62,2,263.21000000000004,2,2,1,5,At Risk
12493.0,165,3,416.79,1,2,2,5,At Risk
12494.0,9,13,1139.3500000000001,4,4,3,11,High Value
12497.0,81,1,1043.1,2,1,3,6,At Risk
12498.0,20,3,403.70000000000005,3,2,2,7,Loyal Customers
12500.0,22,13,4206.2699999999995,3,4,4,11,High Value
12501.0,314,2,2089.68,1,2,4,7,Loyal Customers
12502.0,95,5,3723.87,2,3,4,9,Loyal Customers
12503.0,337,1,-1126.0,1,1,1,3,Lost Customers
12504.0,17,4,114.0,3,3,1,7,Loyal Customers
12505.0,300,1,-4.5,1,1,1,3,Lost Customers
12506.0,232,1,73.5,1,1,1,3,Lost Customers
12507.0,133,4,1258.06,2,3,3,8,Loyal Customers
12508.0,25,2,398.27,3,2,2,7,Loyal Customers
12509.0,283,1,176.5,1,1,1,3,Lost Customers
12510.0,142,2,982.5699999999999,2,2,3,7,Loyal Customers
12512.0,65,2,138.03,2,2,1,5,At Risk
12513.0,84,2,586.79,2,2,2,6,At Risk
12514.0,266,1,1017.6800000000001,1,1,3,5,At Risk
12515.0,352,1,383.7,1,1,2,4,At Risk
12516.0,77,2,1312.06,2,2,3,7,Loyal Customers
12517.0,27,6,2464.89,3,4,4,11,High Value
12518.0,0,5,2056.89,4,3,4,11,High Value
12519.0,63,1,340.84000000000003,2,1,2,5,At Risk
12520.0,78,6,2582.5099999999998,2,4,4,10,High Value
12521.0,142,1,599.68,2,1,2,5,At Risk
12522.0,38,2,192.72,3,2,1,6,At Risk
12523.0,1,13,1745.57,4,4,4,12,High Value
12524.0,8,8,4485.72,4,4,4,12,High Value
12526.0,0,3,1316.66,4,2,3,9,Loyal Customers
12527.0,81,3,348.71000000000004,2,2,2,6,At Risk
12528.0,8,8,1922.28,4,4,4,12,High Value
12530.0,59,5,1623.63,2,3,4,9,Loyal Customers
12531.0,14,1,125.22,4,1,1,6,At Risk
12532.0,29,1,349.83000000000004,3,1,2,6,At Risk
12534.0,130,1,1089.18,2,1,3,6,At Risk
12535.0,91,2,716.35,2,2,3,7,Loyal Customers
12536.0,7,5,4106.82,4,3,4,11,High Value
12538.0,28,1,363.95,3,1,2,6,At Risk
12539.0,21,5,3852.5,3,3,4,10,High Value
12540.0,19,19,13309.039999999999,3,4,4,11,High Value
12541.0,29,3,981.18,3,2,3,8,Loyal Customers
12544.0,29,2,355.7,3,2,2,7,Loyal Customers
12545.0,74,2,1000.39,2,2,3,7,Loyal Customers
12546.0,46,3,1141.5,3,2,3,8,Loyal Customers
12547.0,197,2,207.8,1,2,1,4,At Risk
12548.0,165,1,95.19999999999999,1,1,1,3,Lost Customers
12550.0,78,1,964.83,2,1,3,6,At Risk
12551.0,357,1,168.0,1,1,1,3,Lost Customers
12552.0,38,2,437.82,3,2,2,7,Loyal Customers
12553.0,7,14,3652.25,4,4,4,12,High Value
12556.0,49,2,603.71,3,2,2,7,Loyal Customers
12557.0,15,5,11990.960000000001,4,3,4,11,High Value
12558.0,1,2,1.0658141036401503e-14,4,2,1,7,Loyal Customers
12559.0,310,3,536.21,1,2,2,5,At Risk
12560.0,4,4,2101.39,4,3,4,11,High Value
12561.0,302,1,238.85,1,1,1,3,Lost Customers
12562.0,7,7,3781.7400000000002,4,4,4,12,High Value
12564.0,260,1,456.9,1,1,2,4,At Risk
12565.0,281,2,131.17,1,2,1,4,At Risk
12566.0,72,2,346.7,2,2,2,6,At Risk
12567.0,22,11,9114.94,3,4,4,11,High Value
12569.0,1,35,4064.9900000000002,4,4,4,12,High Value
12571.0,39,2,519.61,3,2,2,7,Loyal Customers
12572.0,8,3,1004.72,4,2,3,9,Loyal Customers
12573.0,226,1,160.54000000000002,1,1,1,3,Lost Customers
12574.0,315,1,218.45000000000002,1,1,1,3,Lost Customers
12576.0,35,6,1306.98,3,4,3,10,High Value
12577.0,34,4,595.4,3,3,2,8,Loyal Customers
12578.0,20,4,2753.36,3,3,4,10,High Value
12579.0,72,3,410.72,2,2,2,6,At Risk
12580.0,246,1,415.7,1,1,2,4,At Risk
12581.0,39,1,197.71,3,1,1,5,At Risk
12582.0,238,2,511.36,1,2,2,5,At Risk
12583.0,2,18,7187.34,4,4,4,12,High Value
12584.0,3,18,1893.95,4,4,4,12,High Value
12585.0,233,4,1982.81,1,3,4,8,Loyal Customers
12586.0,16,2,179.94000000000003,4,2,1,7,Loyal Customers
12587.0,7,1,144.0,4,1,1,6,At Risk
12588.0,38,1,214.89999999999998,3,1,1,5,At Risk
12589.0,28,2,646.68,3,2,2,7,Loyal Customers
12590.0,189,3,9861.38,1,2,4,7,Loyal Customers
12591.0,316,1,452.84999999999997,1,1,2,4,At Risk
12592.0,91,2,437.6,2,2,2,6,At Risk
12593.0,108,3,418.09999999999997,2,2,2,6,At Risk
12594.0,37,11,3320.2200000000003,3,4,4,11,High Value
12596.0,50,2,618.27,2,2,2,6,At Risk
12597.0,18,5,3683.13,3,3,4,10,High Value
12598.0,9,9,3002.68,4,4,4,12,High Value
12599.0,28,7,1032.58,3,4,3,10,High Value
12600.0,28,11,2581.04,3,4,4,11,High Value
12601.0,189,6,569.5600000000001,1,4,2,7,Loyal Customers
12602.0,58,1,153.12,2,1,1,4,At Risk
12603.0,21,1,739.1999999999999,3,1,3,7,Loyal Customers
12604.0,78,2,254.18,2,2,1,5,At Risk
12605.0,364,1,-7.5,1,1,1,3,Lost Customers
12607.0,57,2,-7.105427357601002e-15,2,2,1,5,At Risk
12609.0,77,3,1126.85,2,2,3,7,Loyal Customers
12610.0,22,7,2057.99,3,4,4,11,High Value
12611.0,51,1,1193.32,2,1,3,6,At Risk
12612.0,57,2,643.59,2,2,2,6,At Risk
12613.0,30,6,3218.98,3,4,4,11,High Value
12614.0,277,1,315.6,1,1,2,4,At Risk
12615.0,1,4,2291.19,4,3,4,11,High Value
12616.0,84,5,657.25,2,3,3,8,Loyal Customers
12617.0,28,1,355.53000000000003,3,1,2,6,At Risk
12618.0,21,1,177.31,3,1,1,5,At Risk
12619.0,15,13,3214.81,4,4,4,12,High Value
12620.0,14,3,1339.41,4,2,3,9,Loyal Customers
12621.0,1,23,13612.07,4,4,4,12,High Value
12622.0,231,1,180.1,1,1,1,3,Lost Customers
12623.0,275,1,305.1,1,1,2,4,At Risk
12624.0,105,2,641.13,2,2,2,6,At Risk
12625.0,211,3,2614.32,1,2,4,7,Loyal Customers
12626.0,22,13,6388.35,3,4,4,11,High Value
12627.0,10,7,4478.53,4,4,4,12,High Value
12628.0,3,4,769.61,4,3,3,10,High Value
12630.0,9,2,1270.88,4,2,3,9,Loyal Customers
12631.0,56,1,640.5,2,1,2,5,At Risk
12633.0,58,5,2140.63,2,3,4,9,Loyal Customers
12635.0,89,2,1689.18,2,2,4,8,Loyal Customers
12637.0,66,10,5953.25,2,4,4,10,High Value
12638.0,32,1,671.69,3,1,3,7,Loyal Customers
12639.0,238,1,486.1,1,1,2,4,At Risk
12640.0,23,3,1174.58,3,2,3,8,Loyal Customers
12641.0,114,1,185.9,2,1,1,4,At Risk
12642.0,24,3,1013.26,3,2,3,8,Loyal Customers
12643.0,127,6,3344.64,2,4,4,10,High Value
12644.0,129,1,477.90999999999997,2,1,2,5,At Risk
12645.0,33,5,1755.38,3,3,4,10,High Value
12646.0,4,2,1346.97,4,2,3,9,Loyal Customers
12647.0,21,13,3669.92,3,4,4,11,High Value
12648.0,154,1,318.05,1,1,2,4,At Risk
12649.0,106,4,603.71,2,3,2,7,Loyal Customers
12650.0,2,1,314.44,4,1,2,7,Loyal Customers
12651.0,334,1,114.0,1,1,1,3,Lost Customers
12652.0,321,2,914.53,1,2,3,6,At Risk
12653.0,148,2,2209.85,1,2,4,7,Loyal Customers
12654.0,10,5,601.98,4,3,2,9,Loyal Customers
12656.0,16,8,3982.72,4,4,4,12,High Value
12657.0,10,5,1152.06,4,3,3,10,High Value
12658.0,18,1,686.05,3,1,3,7,Loyal Customers
12659.0,29,1,91.68,3,1,1,5,At Risk
12660.0,10,1,245.1,4,1,1,6,At Risk
12662.0,0,12,3817.08,4,4,4,12,High Value
12664.0,7,10,4863.88,4,4,4,12,High Value
12665.0,324,2,61.75,1,2,1,4,At Risk
12666.0,358,1,-227.44,1,1,1,3,Lost Customers
12667.0,57,1,620.13,2,1,2,5,At Risk
12668.0,6,6,3743.18,4,4,4,12,High Value
12669.0,150,4,1607.73,1,3,3,7,Loyal Customers
12670.0,9,6,2986.15,4,4,4,12,High Value
12672.0,329,1,225.9,1,1,1,3,Lost Customers
12673.0,4,2,610.52,4,2,2,8,Loyal Customers
12674.0,11,7,1919.31,4,4,4,12,High Value
12676.0,24,6,1331.39,3,4,3,10,High Value
12678.0,41,13,17588.26,3,4,4,11,High Value
12679.0,51,9,1058.67,2,4,3,9,Loyal Customers
12680.0,0,4,862.81,4,3,3,10,High Value
12681.0,14,27,13677.59,4,4,4,12,High Value
12682.0,3,31,12288.22,4,4,4,12,High Value
12683.0,3,20,8221.09,4,4,4,12,High Value
12684.0,7,7,2283.63,4,4,4,12,High Value
12685.0,27,6,2863.08,3,4,4,11,High Value
12686.0,371,1,89.14,1,1,1,3,Lost Customers
12688.0,113,1,4873.8099999999995,2,1,4,7,Loyal Customers
12689.0,25,2,1247.61,3,2,3,8,Loyal Customers
12690.0,205,1,389.01,1,1,2,4,At Risk
12691.0,27,6,1035.8,3,4,3,10,High Value
12693.0,120,6,830.96,2,4,3,9,Loyal Customers
12694.0,69,2,869.67,2,2,3,7,Loyal Customers
12695.0,6,4,582.1,4,3,2,9,Loyal Customers
12697.0,20,5,939.02,3,3,3,9,Loyal Customers
12700.0,7,6,4867.99,4,4,4,12,High Value
12701.0,79,2,797.71,2,2,3,7,Loyal Customers
12702.0,19,1,219.0,3,1,1,5,At Risk
12703.0,63,2,274.7,2,2,1,5,At Risk
12704.0,6,10,2220.84,4,4,4,12,High Value
12705.0,14,14,6814.24,4,4,4,12,High Value
12707.0,291,1,603.42,1,1,2,4,At Risk
12708.0,29,16,2616.32,3,4,4,11,High Value
12709.0,2,26,9294.1,4,4,4,12,High Value
12710.0,96,4,1130.57,2,3,3,8,Loyal Customers
12712.0,22,17,4241.63,3,4,4,11,High Value
12713.0,0,1,848.55,4,1,3,8,Loyal Customers
12714.0,8,5,4708.86,4,3,4,11,High Value
12715.0,105,1,353.86,2,1,2,5,At Risk
12716.0,3,2,1053.49,4,2,3,9,Loyal Customers
12717.0,150,3,980.98,1,2,3,6,At Risk
12718.0,70,1,238.25,2,1,1,4,At Risk
12719.0,4,3,608.1,4,2,2,8,Loyal Customers
12720.0,2,29,5713.28,4,4,4,12,High Value
12721.0,31,7,2628.98,3,4,4,11,High Value
12722.0,84,6,904.33,2,4,3,9,Loyal Customers
12723.0,3,5,725.07,4,3,3,10,High Value
12724.0,4,4,1031.41,4,3,3,10,High Value
12725.0,370,1,427.8,1,1,2,4,At Risk
12726.0,27,7,2609.1,3,4,4,11,High Value
12727.0,10,9,3947.7,4,4,4,12,High Value
12728.0,70,4,836.33,2,3,3,8,Loyal Customers
12729.0,113,1,453.01,2,1,2,5,At Risk
12731.0,23,14,18793.41,3,4,4,11,High Value
12732.0,179,1,236.26000000000002,1,1,1,3,Lost Customers
12733.0,233,1,383.95,1,1,2,4,At Risk
12734.0,352,1,110.39999999999999,1,1,1,3,Lost Customers
12735.0,314,2,779.5699999999999,1,2,3,6,At Risk
12736.0,332,1,234.0,1,1,1,3,Lost Customers
12738.0,371,1,155.35,1,1,1,3,Lost Customers
12739.0,77,2,1013.04,2,2,3,7,Loyal Customers
12740.0,63,1,427.6,2,1,2,5,At Risk
12743.0,133,2,546.43,2,2,2,6,At Risk
12744.0,51,10,9120.39,2,4,4,10,High Value
12747.0,1,11,4196.01,4,4,4,12,High Value
12748.0,0,224,29072.1,4,4,4,12,High Value
12749.0,3,8,3868.2,4,4,4,12,High Value
12750.0,128,1,275.88,2,1,1,4,At Risk
12752.0,80,1,4366.78,2,1,4,7,Loyal Customers
12753.0,3,11,21024.01,4,4,4,12,High Value
12754.0,235,5,2949.12,1,3,4,8,Loyal Customers
12755.0,249,4,2203.2000000000003,1,3,4,8,Loyal Customers
12756.0,86,1,112.08,2,1,1,4,At Risk
12757.0,15,19,4227.7,4,4,4,12,High Value
12758.0,116,2,2791.59,2,2,4,8,Loyal Customers
12759.0,51,3,1531.44,2,2,3,7,Loyal Customers
12762.0,7,2,1898.52,4,2,4,10,High Value
12763.0,137,2,494.08,2,2,2,6,At Risk
12764.0,316,1,1693.88,1,1,4,6,At Risk
12766.0,3,7,6989.63,4,4,4,12,High Value
12769.0,238,1,1143.6,1,1,3,5,At Risk
12770.0,210,1,1351.45,1,1,3,5,At Risk
12772.0,59,1,892.47,2,1,3,6,At Risk
12775.0,16,6,1351.24,4,4,3,11,High Value
12778.0,19,7,804.23,3,4,3,10,High Value
12779.0,20,12,3868.7,3,4,4,11,High Value
12781.0,20,5,707.72,3,3,3,9,Loyal Customers
12782.0,4,6,2273.32,4,4,4,12,High Value
12783.0,1,8,1603.87,4,4,3,11,High Value
12784.0,8,2,574.42,4,2,2,8,Loyal Customers
12785.0,2,2,305.71,4,2,2,8,Loyal Customers
12787.0,9,3,463.66,4,2,2,8,Loyal Customers
12789.0,64,1,91.85,2,1,1,4,At Risk
12790.0,191,1,324.92,1,1,2,4,At Risk
12791.0,373,1,192.60000000000002,1,1,1,3,Lost Customers
12792.0,256,1,400.53999999999996,1,1,2,4,At Risk
12793.0,334,2,545.48,1,2,2,5,At Risk
12794.0,52,2,860.41,2,2,3,7,Loyal Customers
12795.0,18,1,430.48,3,1,2,6,At Risk
12797.0,359,3,194.18,1,2,1,4,At Risk
12798.0,9,3,6977.04,4,2,4,10,High Value
12802.0,183,2,412.58,1,2,2,5,At Risk
12808.0,36,3,483.65000000000003,3,2,2,7,Loyal Customers
12809.0,167,2,484.36,1,2,2,5,At Risk
12811.0,260,3,514.85,1,2,2,5,At Risk
12812.0,44,1,229.64000000000001,3,1,1,5,At Risk
12814.0,101,1,125.92,2,1,1,4,At Risk
12815.0,147,2,1063.46,1,2,3,6,At Risk
12816.0,95,2,572.2,2,2,2,6,At Risk
12817.0,280,1,166.04,1,1,1,3,Lost Customers
12818.0,177,2,1517.88,1,2,3,6,At Risk
12820.0,2,4,942.34,4,3,3,10,High Value
12821.0,213,1,92.72,1,1,1,3,Lost Customers
12822.0,70,3,918.98,2,2,3,7,Loyal Customers
12823.0,74,5,1759.5,2,3,4,9,Loyal Customers
12824.0,59,1,397.12,2,1,2,5,At Risk
12826.0,2,8,1468.1200000000001,4,4,3,11,High Value
12827.0,5,3,430.15,4,2,2,8,Loyal Customers
12828.0,2,6,1018.71,4,4,3,11,High Value
12829.0,321,3,253.05,1,2,1,4,At Risk
12830.0,37,7,6748.4,3,4,4,11,High Value
12831.0,261,1,215.05,1,1,1,3,Lost Customers
12832.0,31,2,383.03000000000003,3,2,2,7,Loyal Customers
12833.0,144,1,417.38,1,1,2,4,At Risk
12834.0,282,1,312.38,1,1,2,4,At Risk
12836.0,58,4,2612.86,2,3,4,9,Loyal Customers
12837.0,172,1,134.1,1,1,1,3,Lost Customers
12838.0,33,2,683.13,3,2,3,8,Loyal Customers
12839.0,2,16,5583.62,4,4,4,12,High Value
12840.0,143,6,2714.27,1,4,4,9,Loyal Customers
12841.0,4,26,3876.4,4,4,4,12,High Value
12842.0,69,2,1118.99,2,2,3,7,Loyal Customers
12843.0,65,9,1680.76,2,4,4,10,High Value
12844.0,28,2,325.96000000000004,3,2,2,7,Loyal Customers
12845.0,266,4,354.09000000000003,1,3,2,6,At Risk
12847.0,21,1,871.54,3,1,3,7,Loyal Customers
12849.0,30,2,1050.8899999999999,3,2,3,8,Loyal Customers
12851.0,96,1,135.18,2,1,1,4,At Risk
12852.0,289,2,299.75,1,2,2,5,At Risk
12853.0,107,9,1881.7,2,4,4,10,High Value
12854.0,78,5,1289.15,2,3,3,8,Loyal Customers
12855.0,372,1,38.1,1,1,1,3,Lost Customers
12856.0,7,8,2162.68,4,4,4,12,High Value
12857.0,210,2,1106.4,1,2,3,6,At Risk
12863.0,51,2,504.2,2,2,2,6,At Risk
12864.0,137,1,147.12,2,1,1,4,At Risk
12865.0,25,3,1548.07,3,2,3,8,Loyal Customers
12866.0,282,1,559.12,1,1,2,4,At Risk
12867.0,25,10,3986.22,3,4,4,11,High Value
12868.0,185,6,1607.0600000000002,1,4,3,8,Loyal Customers
12870.0,365,1,-14.899999999999999,1,1,1,3,Lost Customers
12871.0,83,2,380.64,2,2,2,6,At Risk
12872.0,326,2,599.97,1,2,2,5,At Risk
12873.0,281,1,374.0,1,1,2,4,At Risk
12875.0,142,2,343.2300000000001,2,2,2,6,At Risk
12876.0,57,2,2218.02,2,2,4,8,Loyal Customers
12877.0,3,12,1535.77,4,4,3,11,High Value
12878.0,17,3,841.64,3,2,3,8,Loyal Customers
12879.0,44,4,552.57,3,3,2,8,Loyal Customers
12881.0,275,1,298.0,1,1,2,4,At Risk
12882.0,8,2,1463.04,4,2,3,9,Loyal Customers
12883.0,24,4,703.47,3,3,3,9,Loyal Customers
12884.0,87,1,309.05,2,1,2,5,At Risk
12885.0,62,4,1158.27,2,3,3,8,Loyal Customers
12886.0,67,3,1351.09,2,2,3,7,Loyal Customers
12888.0,213,4,313.77,1,3,2,6,At Risk
12890.0,23,1,380.46999999999997,3,1,2,6,At Risk
12891.0,185,3,331.0,1,2,2,5,At Risk
12893.0,30,1,188.14,3,1,1,5,At Risk
12895.0,41,3,347.3,3,2,2,7,Loyal Customers
12897.0,204,2,216.5,1,2,1,4,At Risk
12901.0,8,36,16293.1,4,4,4,12,High Value
12902.0,264,1,138.68,1,1,1,3,Lost Customers
12904.0,17,2,509.58,3,2,2,7,Loyal Customers
12906.0,11,5,2919.81,4,3,4,11,High Value
12908.0,58,4,246.0,2,3,1,6,At Risk
12909.0,39,8,2128.83,3,4,4,11,High Value
12910.0,22,8,3075.04,3,4,4,11,High Value
12912.0,2,5,1662.3,4,3,4,11,High Value
12913.0,4,5,2483.63,4,3,4,11,High Value
12915.0,148,2,363.65,1,2,2,5,At Risk
12916.0,138,5,2982.35,2,3,4,9,Loyal Customers
12917.0,127,1,594.0,2,1,2,5,At Risk
12919.0,7,8,1301.44,4,4,3,11,High Value
12920.0,16,1,164.23,4,1,1,6,At Risk
12921.0,3,50,16389.74,4,4,4,12,High Value
12922.0,160,1,405.38,1,1,2,4,At Risk
12923.0,63,1,176.97,2,1,1,4,At Risk
12924.0,87,5,929.95,2,3,3,8,Loyal Customers
12925.0,4,2,694.05,4,2,3,9,Loyal Customers
12928.0,34,5,2062.7,3,3,4,10,High Value
12929.0,121,2,105.1,2,2,1,5,At Risk
12930.0,77,4,409.90000000000003,2,3,2,7,Loyal Customers
12931.0,21,20,33462.81,3,4,4,11,High Value
12933.0,23,4,606.28,3,3,2,8,Loyal Customers
12935.0,1,8,2156.45,4,4,4,12,High Value
12936.0,16,5,1012.9,4,3,3,10,High Value
12937.0,14,4,1504.27,4,3,3,10,High Value
12938.0,25,1,114.14,3,1,1,5,At Risk
12939.0,63,8,11581.8,2,4,4,10,High Value
12940.0,45,4,876.29,3,3,3,9,Loyal Customers
12942.0,130,3,683.9,2,2,3,7,Loyal Customers
12943.0,300,1,-3.75,1,1,1,3,Lost Customers
12944.0,35,2,604.51,3,2,2,7,Loyal Customers
12945.0,287,1,462.95,1,1,2,4,At Risk
12947.0,143,11,1407.29,1,4,3,8,Loyal Customers
12948.0,15,8,2053.7,4,4,4,12,High Value
12949.0,30,10,4143.02,3,4,4,11,High Value
12950.0,1,3,1843.0,4,2,4,10,High Value
12951.0,8,8,1042.07,4,4,3,11,High Value
12952.0,5,5,1382.84,4,3,3,10,High Value
12953.0,9,1,329.85,4,1,2,7,Loyal Customers
12955.0,0,14,4734.26,4,4,4,12,High Value
12956.0,305,1,108.07,1,1,1,3,Lost Customers
12957.0,3,12,3979.04,4,4,4,12,High Value
12962.0,6,2,266.39,4,2,1,7,Loyal Customers
12963.0,7,9,1841.03,4,4,4,12,High Value
12965.0,88,1,771.91,2,1,3,6,At Risk
12966.0,9,1,160.18,4,1,1,6,At Risk
12967.0,2,4,1194.75,4,3,3,10,High Value
12968.0,111,1,135.95,2,1,1,4,At Risk
12970.0,6,4,452.24,4,3,2,9,Loyal Customers
12971.0,3,89,10930.26,4,4,4,12,High Value
12974.0,197,1,144.8,1,1,1,3,Lost Customers
12976.0,211,1,738.6,1,1,3,5,At Risk
12977.0,155,1,39.239999999999995,1,1,1,3,Lost Customers
12980.0,155,12,7092.06,1,4,4,9,Loyal Customers
12981.0,29,2,372.21999999999997,3,2,2,7,Loyal Customers
12982.0,239,2,377.2,1,2,2,5,At Risk
12984.0,18,1,97.5,3,1,1,5,At Risk
12985.0,0,3,1215.6200000000001,4,2,3,9,Loyal Customers
12987.0,73,3,545.0,2,2,2,6,At Risk
12988.0,291,1,535.32,1,1,2,4,At Risk
12989.0,2,19,6854.51,4,4,4,12,High Value
12990.0,30,3,409.5,3,2,2,7,Loyal Customers
12991.0,22,2,503.76,3,2,2,7,Loyal Customers
